Designator,Mid X,Mid Y,Rotation,Layer
MX52,169.8625,-84.1375,0.0,bottom
MX53,188.9125,-84.1375,0.0,bottom
MX54,207.9625,-84.1375,0.0,bottom
MX55,227.0125,-84.1375,0.0,bottom
MX56,246.0625,-84.1375,0.0,bottom
MX57,277.01875,-84.1375,0.0,bottom
MX58,307.975,-84.1375,0.0,bottom
MX59,24.60625,-103.1875,0.0,bottom
MX6,122.2375,-22.225,0.0,bottom
MX60,46.0375,-103.1875,0.0,bottom
MX61,65.0875,-103.1875,0.0,bottom
MX62,84.1375,-103.1875,0.0,bottom
MX63,103.1875,-103.1875,0.0,bottom
MX64,122.2375,-103.1875,0.0,bottom
MX65,141.2875,-103.1875,0.0,bottom
MX66,160.3375,-103.1875,0.0,bottom
MX67,179.3875,-103.1875,0.0,bottom
MX68,198.4375,-103.1875,0.0,bottom
MX69,217.4875,-103.1875,0.0,bottom
MX7,141.2875,-22.225,0.0,bottom
MX70,236.5375,-103.1875,0.0,bottom
MX71,262.73125,-103.1875,0.0,bottom
MX72,288.925,-103.1875,0.0,bottom
MX73,307.975,-103.1875,0.0,bottom
MX74,24.60625,-122.2375,0.0,bottom
MX75,48.41875,-122.2375,0.0,bottom
MX76,72.23125,-122.2375,0.0,bottom
MX77,143.66875,-122.2375,0.0,bottom
MX78,212.725,-122.2375,0.0,bottom
MX79,231.775,-122.2375,0.0,bottom
MX8,165.1,-22.225,0.0,bottom
MX80,250.825,-122.2375,0.0,bottom
MX81,269.875,-122.2375,0.0,bottom
MX82,288.925,-122.2375,0.0,bottom
MX83,307.975,-122.2375,0.0,bottom
MX9,184.15,-22.225,0.0,bottom
R1,51.7175,-179.065,0.0,bottom
R2,51.7175,-181.055,0.0,bottom
R3,51.7175,-183.045,0.0,bottom
R4,48.8075,-179.065,0.0,bottom
R5,48.8075,-181.055,0.0,bottom
R6,48.8075,-183.045,0.0,bottom
R7,45.8975,-179.065,0.0,bottom
R8,45.8975,-181.055,0.0,bottom
R9,45.8975,-183.045,0.0,bottom
RST1,61.8875,-167.075,0.0,bottom
U1,36.6175,-180.295,0.0,bottom
U2,41.7825,-184.745,0.0,bottom
U3,66.6675,-182.715,0.0,bottom
U4,66.1375,-174.685,0.0,bottom
Y1,41.8175,-180.295,0.0,bottom
